date,value
16/09/2021,5.25
15/09/2021,5.25
14/09/2021,5.25
13/09/2021,5.25
12/09/2021,5.25
11/09/2021,5.25
10/09/2021,5.25
09/09/2021,5.25
08/09/2021,5.25
07/09/2021,5.25
06/09/2021,5.25
05/09/2021,5.25
04/09/2021,5.25
03/09/2021,5.25
02/09/2021,5.25
01/09/2021,5.25
31/08/2021,5.25
30/08/2021,5.25
29/08/2021,5.25
28/08/2021,5.25
27/08/2021,5.25
26/08/2021,5.25
25/08/2021,5.25
24/08/2021,5.25
23/08/2021,5.25
22/08/2021,5.25
21/08/2021,5.25
20/08/2021,5.25
19/08/2021,5.25
18/08/2021,5.25
17/08/2021,5.25
16/08/2021,5.25
15/08/2021,5.25
14/08/2021,5.25
13/08/2021,5.25
12/08/2021,5.25
11/08/2021,5.25
10/08/2021,5.25
09/08/2021,5.25
08/08/2021,5.25
07/08/2021,5.25
06/08/2021,5.25
05/08/2021,5.25
04/08/2021,4.25
03/08/2021,4.25
02/08/2021,4.25
01/08/2021,4.25
31/07/2021,4.25
30/07/2021,4.25
29/07/2021,4.25
28/07/2021,4.25
27/07/2021,4.25
26/07/2021,4.25
25/07/2021,4.25
24/07/2021,4.25
23/07/2021,4.25
22/07/2021,4.25
21/07/2021,4.25
20/07/2021,4.25
19/07/2021,4.25
18/07/2021,4.25
17/07/2021,4.25
16/07/2021,4.25
15/07/2021,4.25
14/07/2021,4.25
13/07/2021,4.25
12/07/2021,4.25
11/07/2021,4.25
10/07/2021,4.25
09/07/2021,4.25
08/07/2021,4.25
07/07/2021,4.25
06/07/2021,4.25
05/07/2021,4.25
04/07/2021,4.25
03/07/2021,4.25
02/07/2021,4.25
01/07/2021,4.25
30/06/2021,4.25
29/06/2021,4.25
28/06/2021,4.25
27/06/2021,4.25
26/06/2021,4.25
25/06/2021,4.25
24/06/2021,4.25
23/06/2021,4.25
22/06/2021,4.25
21/06/2021,4.25
20/06/2021,4.25
19/06/2021,4.25
18/06/2021,4.25
17/06/2021,4.25
16/06/2021,3.50
15/06/2021,3.50
14/06/2021,3.50
13/06/2021,3.50
12/06/2021,3.50
11/06/2021,3.50
10/06/2021,3.50
09/06/2021,3.50
08/06/2021,3.50
07/06/2021,3.50
06/06/2021,3.50
05/06/2021,3.50
04/06/2021,3.50
03/06/2021,3.50
02/06/2021,3.50
01/06/2021,3.50
31/05/2021,3.50
30/05/2021,3.50
29/05/2021,3.50
28/05/2021,3.50
27/05/2021,3.50
26/05/2021,3.50
25/05/2021,3.50
24/05/2021,3.50
23/05/2021,3.50
22/05/2021,3.50
21/05/2021,3.50
20/05/2021,3.50
19/05/2021,3.50
18/05/2021,3.50
17/05/2021,3.50
16/05/2021,3.50
15/05/2021,3.50
14/05/2021,3.50
13/05/2021,3.50
12/05/2021,3.50
11/05/2021,3.50
10/05/2021,3.50
09/05/2021,3.50
08/05/2021,3.50
07/05/2021,3.50
06/05/2021,3.50
05/05/2021,2.75
04/05/2021,2.75
03/05/2021,2.75
02/05/2021,2.75
01/05/2021,2.75
30/04/2021,2.75
29/04/2021,2.75
28/04/2021,2.75
27/04/2021,2.75
26/04/2021,2.75
